restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords
g187309-d10000500,Shami,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Marktstr. 6, 80802 Munich, Bavaria Germany",48.161884,11.588672,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",#46 of 2846 Restaurants in Munich,#48 of 3608 places to eat in Munich,"Mid-range, Asian, Vietnamese, Vegetarian Friendly",€€-€€€,,"Lunch, Dinner","Asian, Vietnamese","Vegetarian Friendly, Gluten Free Options, Vegan Options",,Y,Y,Y,"{""Mon"": [""11:00-14:30"", ""17:30-23:00""], ""Tue"": [""11:00-14:30"", ""17:30-23:00""], ""Wed"": [""11:00-14:30"", ""17:30-23:00""], ""Thu"": [""11:00-14:30"", ""17:30-23:00""], ""Fri"": [""11:00-14:30"", ""17:30-23:00""], ""Sat"": [""17:00-23:00""], ""Sun"": [""13:00-22:00""]}",7.0,60.0,12.0,4.5,183.0,English,31.0,18.0,10.0,3.0,0.0,0.0,4.5,4.0,4.0,,"dumplings, asian food, munich restaurant, schwabing, starters"
g187309-d10021981,Trumpf oder Kritisch,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Feilitzschstrasse 14, 80802 Munich, Bavaria Germany",48.16104,11.58922,Unclaimed,,#1082 of 2846 Restaurants in Munich,#1185 of 3608 places to eat in Munich,"Mid-range, German, Vegetarian Friendly",€€-€€€,,Dinner,German,Vegetarian Friendly,,Y,N,N,,,,,4.0,52.0,English,5.0,3.0,2.0,0.0,0.0,0.0,4.0,4.0,4.0,,
g187309-d10025671,Chocolaterie Eva,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Arnulfstr. 20, 80335 Munich, Bavaria Germany",48.141872,11.557834,Unclaimed,,#81 of 89 Dessert Spots in Munich,#2594 of 3608 places to eat in Munich,"Mid-range, Dessert",€€-€€€,€4-€15,,,,,N,N,N,,,,,4.0,4.0,English,1.0,0.0,1.0,0.0,0.0,0.0,,,,,
g187309-d10025883,Yildiz,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Kazmairstr. 37, 80339 Munich, Bavaria Germany",48.13451,11.54163,Unclaimed,,,,Cheap Eats,€,€4-€10,,,,,N,N,N,,,,,,,,,,,,,,,,,,
g187309-d10027839,Pizza Best,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Burgauerstr. 117, 81929 Munich, Bavaria Germany",48.14976,11.65731,Unclaimed,,#2392 of 2846 Restaurants in Munich,#2674 of 3608 places to eat in Munich,Pizza,,,,Pizza,,,N,N,N,,,,,3.5,3.0,All languages,3.0,2.0,0.0,0.0,0.0,1.0,,,,,
g187309-d10028945,Gustosa,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Schleissheimer Str. 506, 80933 Munich, Bavaria Germany",48.21291,11.56368,Unclaimed,,#2200 of 2846 Restaurants in Munich,#2461 of 3608 places to eat in Munich,,,,,,,,N,N,N,,,,,5.0,2.0,English,1.0,1.0,0.0,0.0,0.0,0.0,,,,,
g187309-d10031271,Evelinas bistrobar,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Schleissheimer Str. 69 Eingang Görresstraße, 80797 Munich, Bavaria Germany",48.15629,11.56168,Unclaimed,,#2047 of 2846 Restaurants in Munich,#2288 of 3608 places to eat in Munich,,,,Dinner,,,,N,N,N,"{""Mon"": [""17:00-01:00""], ""Tue"": [""17:00-01:00""], ""Wed"": [""17:00-01:00""], ""Thu"": [""17:00-01:00""], ""Fri"": [""17:00-01:00""], ""Sat"": [], ""Sun"": []}",5.0,40.0,5.0,4.5,4.0,All languages,4.0,2.0,2.0,0.0,0.0,0.0,,,,,
g187309-d10033159,Nihao,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Pasinger Bahnhofsplatz 2, 81241 Munich, Bavaria Germany",48.148705,11.460538,Unclaimed,,#1805 of 2846 Restaurants in Munich,#2010 of 3608 places to eat in Munich,"Cheap Eats, Chinese, Asian, Vegetarian Friendly",€,,"Lunch, Dinner","Chinese, Asian",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""11:30-21:00""], ""Tue"": [""11:30-21:00""], ""Wed"": [""11:30-21:00""], ""Thu"": [""11:30-21:00""], ""Fri"": [""11:30-21:00""], ""Sat"": [""11:30-21:00""], ""Sun"": [""11:30-21:00""]}",7.0,66.5,7.0,3.5,21.0,English,3.0,1.0,1.0,0.0,0.0,1.0,4.0,3.0,4.0,,
g187309-d10034042,Cornelius Tagesbar,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Corneliusstr. 31, 80469 Munich, Bavaria Germany",48.13051,11.57804,Unclaimed,,#1930 of 2846 Restaurants in Munich,#2147 of 3608 places to eat in Munich,,,,,,,,N,N,N,,,,,4.5,5.0,English,1.0,0.0,1.0,0.0,0.0,0.0,,,,,
g187309-d10040169,Gasthaus Tannengarten,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Pfeuferstr. 32, 81373 Munich, Bavaria Germany",48.123096,11.541226,Unclaimed,Certificate of Excellence 2018,#1309 of 2846 Restaurants in Munich,#1446 of 3608 places to eat in Munich,"Mid-range, German, Vegetarian Friendly, Gluten Free Options",€€-€€€,,"Lunch, Dinner",German,"Vegetarian Friendly, Gluten Free Options",,Y,N,Y,"{""Mon"": [], ""Tue"": [], ""Wed"": [""17:00-23:00""], ""Thu"": [""17:00-23:00""], ""Fri"": [""17:00-23:00""], ""Sat"": [""11:30-23:00""], ""Sun"": [""11:30-23:00""]}",5.0,41.0,5.0,3.5,71.0,English,3.0,1.0,1.0,1.0,0.0,0.0,3.5,4.0,3.5,,
